judge,artist,song,vote
D3,还潮,舟宿渡夏目漱石,0
D3,邓小巧,精神喂饲,0
D3,邓紫棋,句号,0
D3,邱比,叶柏,0
D3,邱比,柔黄,3
D3,郁可唯,路过人间,0
D3,郑宜农,千千万万,1
D3,陈家麟Whle,Pluto,0
D3,陈楚生,趋光号,0
D3,陈珊妮/吕士轩,成为一个厉害的普通人,0
D3,鬼卞,佳人,0
D3,魏如萱,Ophelia,0
D3,魏如萱,彼个所在,0
D3,魏如萱/岑宁儿,星期三或礼拜三,0
D3,鹿晗,夜的尽头,0
D3,鲁向卉,嘲笑孤单,0
D3,麦浚龙/黎明,忘记和记,0
D3,黎忘年,宝石,0
D3,3unshine,巴拉,0
D4,王嘉尔/Higher Brothers/AUGUST 08/GoldLink,Tequila Sunrise,0
D4,9m88,爱情雨,1
D4,9m88/Leo王,最高品质静悄悄(Airplane Mode),0
D4,Atta Girl,九月,0
D4,deca joins,雾,0
D4,Dusty Bottle,You Don't Know Me,0
D4,Fill Lake,"Be not afeard, the isle is full of noises",0
D4,Happy Birdy,大球滚动,0
D4,Ice Paper,鸦雀无声,0
D4,J.Sheon,输情歌,0
D4,LMF/Matt Force/Dough Boy/Future/Seanie P/Tommy/KZ/Akiko/JB/黄祸YP/Heyo,W.T.F.H.K,0
D4,Matt Force,告别,0
D4,Nerve Passeger,中环留念,0
D4,per se,庆祝无意义,0
D4,SoulFa,R.U.M.O.R.S,2
D4,イルカポリス 海豚刑警,安平之光,0
D4,丁世光,你的家,0
D4,丁世光,月食,0
D4,丁世光/叶喜儿,低潮期,0
D4,上海彩虹室内合唱团,我有一个装满星星的口袋,0
D4,不优雅,停在空中,1
D4,尹吾,我承认,0
D4,九连真人,莫欺少年穷,3
D4,五条人,匈奴王,0
D4,伍佰&China Blue,让水倒流,0
D4,佛跳墙,关你屁事,0
D4,佛跳墙,无名氏,0
D4,傻子与白痴,5:10a.m.,0
D4,傻子与白痴,夜长梦少,0
D4,傻子与白痴,象牙舟,0
D4,全家福合唱团,感恩节,0
D4,全家福合唱团,爱上福利社,2
D4,凹与山/李漫,一切好事都会发生,0
D4,刘柏辛,Manta,3
D4,卢凯彤,光,0
D4,卢凯彤,光之外,0
D4,卢凯彤,圆谎,0
D4,发光曲线,无限引擎,0
D4,发光曲线,灰烬霓虹,0
D4,发光曲线,荒野星,0
D4,右侧合流,躲猫猫,0
D4,吉克隽逸,Looking for Trouble,0
D4,吴建京,灰沙燕,1
D4,吴林峰,下一束光,0
D4,吴青峰,Outsider,0
D4,吴青峰,水仙花之死,0
D4,告五人,爱人错过,0
D4,周华健,少年,0
D4,唐汉霄/周深,末日飞船,0
D4,好妹妹,云野,0
D4,安溥 anpu,ZOEA,0
D4,宋念宇,默念你,0
D4,宝石Gem,野狼Disco,0
D4,宫阁,夕阳·日落,0
D4,家家/方大同,在家里,0
D4,巧克力工厂Chocolate Factory,大肚子飞行员,0
D4,张艺兴,honey,0
D4,方皓玟,人话,0
D4,方皓玟,愿,0
D4,无妄合作社,在围城时与你失散,0
D4,曾轶可,雌雄同体,4
D4,曾轶可,水的记忆,0
D4,李亮辰,渡河,0
D4,李靖筠,第三颗行星,0
D4,杨乃文,在爱和你之间,0
D4,杨乃文/许钧,不再,0
D4,林二汶,最后的信仰,0
D4,林俊杰,将故事写成我们,0
D4,林宥嘉,别让我走远,0
D4,梁静茹,太阳如常升起 I,0
D4,梁静茹,我好吗,0
D4,椅子乐团,城市潜水,0
D4,橘子海,夏日漱石,0
D4,法兹乐队FAZI/海朋森,你把我的脸庞转向明天,0
D4,海朋森,草莓,4
D4,灭火器,双城记,0
D4,焦迈奇,我的名字,0
D4,焦迈奇,松鼠,0
